time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	TrajectoryX(mm)	TrajectoryY(mm)	TrajectoryZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedY(mm/s)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.010	0.112	0.991	1.343	0.061	-0.977	6.19	0.09	173.33	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.010	0.113	0.990	1.343	0.122	-0.671	6.19	0.09	173.33	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.012	0.113	0.990	1.160	0.183	-0.427	6.20	0.09	173.32	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.014	0.114	0.990	1.099	0.122	-0.244	6.20	0.09	173.32	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.015	0.114	0.989	1.221	0.122	-0.183	6.21	0.09	173.31	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.211	WTSIZIF1(76C8B99AE989)	-0.016	0.114	0.989	1.099	0.000	-0.183	6.21	0.09	173.31	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.212	WTSIZIF1(76C8B99AE989)	-0.017	0.116	0.990	1.038	0.000	-0.366	6.22	0.09	173.31	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.212	WTSIZIF1(76C8B99AE989)	-0.016	0.120	0.990	1.099	-0.061	-0.610	6.22	0.09	173.30	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.017	0.122	0.990	1.160	0.000	-0.732	6.23	0.09	173.30	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.017	0.120	0.991	1.221	-0.122	-0.854	6.23	0.09	173.29	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.017	0.119	0.990	1.221	-0.061	-0.977	6.24	0.09	173.29	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.017	0.119	0.989	1.282	-0.122	-1.282	6.25	0.09	173.28	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.011	0.116	0.991	1.221	-0.122	-1.648	6.26	0.09	173.27	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	-0.002	0.114	0.992	1.038	0.000	-1.526	6.26	0.09	173.27	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	0.000	0.115	0.990	1.160	0.183	-0.977	6.27	0.09	173.26	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.241	WTSIZIF1(76C8B99AE989)	0.000	0.115	0.993	1.099	0.427	-0.427	6.27	0.10	173.25	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.004	0.109	0.993	1.038	0.549	-0.244	6.28	0.10	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.008	0.106	0.990	1.038	0.732	-0.122	6.28	0.10	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.010	0.107	0.988	1.099	0.854	-0.061	6.29	0.11	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.011	0.107	0.987	1.099	0.977	0.000	6.30	0.12	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.013	0.106	0.988	1.221	1.099	0.000	6.30	0.12	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.015	0.106	0.990	1.343	1.160	-0.244	6.31	0.13	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.017	0.106	0.993	1.282	1.160	-0.610	6.31	0.13	173.24	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.272	WTSIZIF1(76C8B99AE989)	-0.019	0.108	0.993	1.282	1.160	-0.854	6.32	0.14	173.23	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.020	0.110	0.992	1.221	1.160	-1.038	6.32	0.14	173.22	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.018	0.111	0.991	1.221	1.221	-1.160	6.33	0.15	173.22	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.016	0.112	0.989	1.221	1.160	-1.221	6.34	0.16	173.21	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.016	0.111	0.988	1.221	1.221	-1.160	6.34	0.16	173.20	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.020	0.112	0.984	1.160	1.099	-1.160	6.35	0.17	173.20	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.332	WTSIZIF1(76C8B99AE989)	-0.022	0.116	0.979	1.160	1.038	-1.282	6.36	0.18	173.19	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.333	WTSIZIF1(76C8B99AE989)	-0.025	0.118	0.979	1.404	0.854	-1.343	6.36	0.19	173.18	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.333	WTSIZIF1(76C8B99AE989)	-0.026	0.118	0.985	1.465	0.732	-1.343	6.37	0.19	173.17	9.500	-62.560	218.447	null	null	null	null	null	null	0.05884	0.00327	0.05344	0.99680	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.024	0.118	0.994	1.404	0.610	-1.587	6.38	0.19	173.17	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.021	0.117	1.002	1.343	0.488	-1.770	6.38	0.20	173.16	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.018	0.115	1.009	1.221	0.427	-1.770	6.39	0.20	173.14	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.014	0.112	1.011	0.916	0.366	-1.709	6.39	0.20	173.13	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.012	0.114	1.008	0.671	0.427	-1.343	6.40	0.21	173.13	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.014	0.118	0.998	0.488	0.427	-0.793	6.40	0.21	173.12	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.017	0.120	0.986	0.488	0.366	-0.244	6.41	0.21	173.12	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.361	WTSIZIF1(76C8B99AE989)	-0.019	0.122	0.979	0.488	0.183	0.244	6.41	0.21	173.11	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.023	0.122	0.974	0.610	0.061	0.671	6.41	0.21	173.11	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.028	0.123	0.974	0.549	0.000	0.793	6.41	0.21	173.12	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.030	0.124	0.973	0.488	-0.244	0.366	6.42	0.21	173.12	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.028	0.123	0.975	0.671	-0.549	-0.183	6.42	0.21	173.11	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.023	0.116	0.986	0.916	-0.793	-0.488	6.42	0.21	173.11	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.021	0.108	1.002	0.793	-0.916	-0.977	6.43	0.20	173.11	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.024	0.108	1.011	0.305	-1.099	-2.380	6.43	0.20	173.10	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.392	WTSIZIF1(76C8B99AE989)	-0.030	0.114	1.003	0.000	-1.221	-4.211	6.43	0.20	173.07	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.041	0.121	0.989	0.000	-1.465	-5.798	6.43	0.19	173.05	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.067	0.130	0.978	0.183	-1.953	-7.690	6.43	0.19	173.01	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.106	0.148	0.973	0.488	-3.052	-12.695	6.43	0.18	172.96	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.132	0.165	0.978	0.488	-4.089	-20.203	6.43	0.18	172.87	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.126	0.160	0.988	0.549	-4.333	-26.550	6.43	0.16	172.74	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.124	0.139	1.003	-0.549	-4.822	-27.710	6.43	0.16	172.61	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.153	0.137	0.998	-1.953	-7.019	-27.588	6.42	0.15	172.46	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.452	WTSIZIF1(76C8B99AE989)	-0.175	0.153	0.982	-2.808	-10.376	-30.396	6.41	0.12	172.31	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.484	WTSIZIF1(76C8B99AE989)	-0.163	0.147	0.992	-4.333	-13.733	-33.691	6.39	0.08	172.14	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
2025-8-11 23:38:58.484	WTSIZIF1(76C8B99AE989)	-0.157	0.115	1.005	-6.470	-16.968	-32.471	6.36	0.02	171.96	9.500	-62.560	218.447	null	null	null	null	null	null	0.05988	-0.00320	0.05841	0.99643	29.0	10080.1.21	50
